ID,SampleWeight,phosphoricacid,glycericacid,Lserine,Lalanine,Lthreonine,Betaalanine,Dmalicacid,asparticacid,Lglutamicacid,transaconiticacid,glycerol1phosphate,shikimicacid,citricacid,quinicacid,fructose,Dglucose,tyrosine,galactonicacid,mucicacid,myoinositol,caffeicacid,Dglucose6phosphate,Sucrose,loganin,chlorogenicacid,Raffinose
B54,46.5,0.02982954,0.007831883,0.004072453,0.006240063,0.002326507,0.002315375,0.03535877,0.17233483,0.003873801,0.13359199,3.82E-05,0.021407678,0.007776225,0.073945701,0.036645263,0.03193659,0.004152091,0.0005534,2.81E-03,0.09050954,0.000928694,0.001644298,0.53955738,0.001097259,0.015919794,4.37E-04
B73Htrhm,22.8,0.07063009,0.027457434,0.028683088,0.001929189,0.001148188,0.001152074,0.081296,0.061831195,0.013834599,0.33646496,1.24E-02,0.022268245,0.010514373,0.218074152,0.127070041,1.14403836,0.002465399,0.001719368,3.57E-03,0.1876054,0.002449857,0.00326,0.62771136,0.001328868,0.029357481,3.42E-03
B90,23.2,0.08438617,0.004353123,0.007068062,0.005052591,0.003412078,0.002358929,0.02857872,0.059579523,0.008123619,0.18801087,2.37E-03,0.005319431,0.006257318,0.017955646,0.017151968,0.04652173,0.002249982,0.000895256,9.82E-03,0.13400893,0.000827362,0.002464717,3.45667231,0.000329997,0.000749994,7.15E-04
B99,25.5,0.038792109,0.010498767,6.82E-03,0.000953107,0.001282156,1.03E-03,0.09553278,0.025312451,6.09E-03,0.26198953,2.99E-03,1.089271774,0.017366649,1.26695655,0.323393463,0.428737736,0.00397128,0.001705219,0.011717707,0.47336033,6.88E-03,0.003381261,0.15030623,1.17E-02,1.85E-02,0.002765307
C102,22.8,0.05168846,0.003890698,0.001557709,0.000361335,0.00054944,0.000667552,0.03192437,0.020536622,0.003622978,0.15275998,9.84E-04,0.046992845,0.004439263,0.184326532,0.661934019,0.8009274,0.00287581,0.001984282,2.79E-03,0.0804238,0.000587936,0.001773431,0.31782012,0.002468979,0.019928564,1.17E-02
C15,25.1,0.082313859,0.024515543,0.0164,0.0164,0.002025,0.003927394,0.23,0.256,0.011035,0.214553991,0.001816299,0.01975,0.0267,0.0627,1.0665,0.815,0.003095,0.0224,0.004970341,0.24619235,0.007054306,0.002435,0.247651006,0.00526,0.0273,0.021354353
C42,28.4,0.06086829,0.006135403,0.002994212,0.002989841,0.003012789,0.003309479,0.08433133,0.23577345,0.060625148,0.15971012,0.005548581,0.003120428,0.017798078,0.04347673,0.255663104,0.07090491,0.004071692,0.000930501,0.002379524,0.3558474,9.34E-04,0.000990603,0.08565749,0.001091139,0.014653609,0.001569776
C68,30.5,0.05809979,0.006461247,0.005389437,0.005348529,0.010256411,0.004124772,0.36149789,0.05140361,0.010725109,0.31387871,0.003300753,0.055404492,0.029001976,0.13910032,0.934640185,0.71302923,0.004592301,0.001655052,0.002980496,0.6291557,7.40E-04,0.005280737,2.18192692,0.004114253,0.022508002,0.008396816
CG10,25.45,0.278523016,0.035251666,0.00769,0.007745,0.0005665,0.001490684,0.07255,0.064,0.01785,0.380646011,0.007935634,0.01485,0.0156,0.0509,0.01895,0.07285,0.001335,0.00722,0.014741153,1.004590613,0.002743442,0.00365,0.150897672,0.01335,0.06765,0.012787092
Chi-tan_120,25.6,0.110050181,0.006704933,0.005695,0.005695,0.0004765,0.002539478,0.1121,0.02275,0.004225,0.155589001,0.000483299,0.0402,0.013355,0.396,1.1655,0.833,0.002675,0.001581,0.004370728,0.28229426,0.002707387,0.00293,0.165677231,0.08655,0.0204,0.008680059
CI_540,24.6,0.07939307,0.013348273,0.200535794,0.007580306,0.0064472,0.003049458,0.13147025,0.074764514,0.005429138,0.20211314,4.89E-03,0.023626601,0.013387672,0.07099012,0.036713267,0.03959252,0.00597284,0.000915625,6.38E-03,0.23954241,0.002664927,0.002316643,0.21750351,0.006675713,0.00263656,8.75E-04
CL17,30.1,0.129085649,0.009533713,0.036255566,0.009553706,0.00488881,0.002381762,0.11188418,0.058663057,0.004110439,0.022799427,0.001997908,0.94651391,0.017839892,1.0257998,0.802557909,0.95599964,0.003224109,0.006446885,0.005492581,0.28466524,1.11E-03,0.002551031,0.1103788,1.80E-02,0.112238713,3.67E-03
CM99,22.9,0.10151369,0.005894541,0.008248909,0.009373412,0.002390766,0.00036781,0.0806079,0.12286584,1.88E-03,0.2245642,0.004063153,0.010881051,0.036183326,0.05338995,0.67976109,1.39078988,0.003026771,0.002745167,0.022624157,0.49838087,1.88E-02,0.003019109,0.07415254,0.001643652,0.019384746,0.000634089
